Bank_Transaction_ID,Transaction_Ref,Date,Bank_Amount,Bank_Account,Reconciliation_Status
BTXN-800000,TXN-500000,2024-03-08 09:00:00,74588.82,8755262201,Matched
BTXN-800001,TXN-500001,2024-11-20 17:00:00,64362.01,2533403651,Matched
BTXN-800002,TXN-500002,2024-02-01 16:00:00,1956.18,3154890776,Matched
BTXN-800003,TXN-500003,2023-03-09 13:00:00,2821.88,2533403651,Matched
BTXN-800004,TXN-500004,2023-08-27 15:00:00,3171.74,1714025507,Matched
BTXN-800005,TXN-500005,2024-09-18 16:00:00,1209.61,8755262201,Partial
BTXN-800007,TXN-500007,2024-13-45,14284.89,2533403651,Matched
BTXN-800009,TXN-500009,2024-10-10 12:00:00,7122.72,3154890776,Matched
BTXN-800010,TXN-500010,2024-03-12 17:00:00,4625.46,3834846826,Matched
BTXN-800011,TXN-500011,2023-06-04 13:00:00,3287.3,1895646192,Matched
BTXN-800012,TXN-500012,2023-10-18 17:00:00,964.49,2981426336,Matched
BTXN-800013,TXN-500013,2024-03-15 09:00:00,2032.35,4532658461,Matched
BTXN-800014,TXN-500014,2024-12-21 13:00:00,1300.15,3965458084,Matched
BTXN-800015,TXN-500015,2024-01-26 15:00:00,2288.21,2981426336,Matched
BTXN-800016,TXN-500016,2023-06-10 12:00:00,9899.58,8755262201,Partial
BTXN-800017,TXN-500017,2023-05-17 11:00:00,2569.56,4532658461,Matched
BTXN-800018,TXN-500018,2023-03-02 10:00:00,1142.81,3965458084,Matched
BTXN-800019,TXN-500019,2025-01-25 14:00:00,3080.56,3965458084,Matched
BTXN-800020,TXN-500020,2023-07-21 17:00:00,5271.75,2533403651,Matched
BTXN-800021,TXN-500021,2025-01-15 12:00:00,2594.76,5559681068,Matched
BTXN-800022,TXN-500022,2023-11-01 17:00:00,678.98,3154890776,Matched
BTXN-800023,TXN-500023,2024-02-05 14:00:00,3876.65,3834846826,Matched
BTXN-800024,TXN-500024,2024-01-03 15:00:00,4948.26,1714025507,Matched
BTXN-800025,TXN-500025,2023-08-09 17:00:00,3300.06,3834846826,Matched
BTXN-800026,TXN-500026,2025-01-09 15:00:00,6826.6,3834846826,Matched
BTXN-800027,TXN-500027,2024-07-05 14:00:00,8409.53,8755262201,Matched
BTXN-800028,TXN-500028,2024-11-06 12:00:00,516.56,4532658461,Matched
BTXN-800029,TXN-500029,2023-10-11 11:00:00,2583.22,4532658461,Matched
BTXN-800030,TXN-500030,2024-07-21 09:00:00,1303.79,4532658461,Matched
BTXN-800031,TXN-500031,2024-07-12 12:00:00,15944.06,3965458084,Matched
BTXN-800032,TXN-500032,2024-02-05 10:00:00,1875.79,5559681068,Partial
BTXN-800033,TXN-500033,2024-03-18 15:00:00,4233.75,8755262201,Matched
BTXN-800034,TXN-500034,2024-04-27 09:00:00,2798.41,2981426336,Matched
BTXN-800035,TXN-500035,2023-09-04 11:00:00,1058.92,3834846826,Matched
BTXN-800036,TXN-500036,2024-11-02 09:00:00,18284.93,5559681068,Matched
BTXN-800037,TXN-500037,2023-02-12 17:00:00,970.84,1714025507,Matched
BTXN-800038,TXN-500038,2023-02-14 10:00:00,13006.72,1714025507,Matched
BTXN-800039,TXN-500039,2024-02-24 10:00:00,7001.9,5559681068,Matched
BTXN-800040,TXN-500040,2025-02-25 13:00:00,18659.81,4532658461,Matched
BTXN-800041,TXN-500041,2024-06-25 15:00:00,2329.02,1895646192,Matched
BTXN-800042,TXN-500042,2023-12-17 12:00:00,9615.44,4532658461,Matched
BTXN-800043,TXN-500043,2024-03-30 13:00:00,1089297.58,3965458084,Matched
BTXN-800044,TXN-500044,2024-12-05 15:00:00,27016.73,2981426336,Matched
BTXN-800045,TXN-500045,2023-08-06 10:00:00,1483.71,9988776655,Matched
BTXN-800046,TXN-500046,2023-06-01 16:00:00,4317.45,3965458084,Matched
BTXN-800047,TXN-500047,2024-06-07 14:00:00,5548.09,4532658461,Matched
BTXN-800048,TXN-500048,2023-10-16 12:00:00,811.41,5559681068,Matched
BTXN-800049,TXN-500049,2023-04-20 09:00:00,6671.94,3834846826,Matched
BTXN-800050,TXN-500050,2023-12-31 17:00:00,1736.87,3834846826,Matched
BTXN-800051,TXN-500051,2024-09-05 10:00:00,2288.11,2981426336,Matched
BTXN-800052,TXN-500052,2024-05-31 10:00:00,77.3,2981426336,Matched
BTXN-800053,TXN-500053,2023-06-14 13:00:00,3802.95,2533403651,Matched
BTXN-800054,TXN-500054,2023-09-09 12:00:00,3660.2,3965458084,Matched
BTXN-800055,TXN-500055,2024-12-07 15:00:00,805.83,3834846826,Matched
BTXN-800056,TXN-500056,2023-03-27 15:00:00,1585.86,3965458084,Matched
BTXN-800057,TXN-500057,2023-08-20 17:00:00,1318.33,3154890776,Matched
BTXN-800058,TXN-500058,2023-02-28 10:00:00,1857917.12,4532658461,Matched
BTXN-800059,TXN-500059,2024-04-19 11:00:00,47163.89,2981426336,Matched
