Invoice_ID,Transaction_Ref,Date,Vendor_Name,Vendor_ID,Amount,Approver_ID,Department,Category,Payment_Method,Vendor_Bank_Account,Status
INV-100000,TXN-500000,2024-03-08 09:00:00,ABC Pvt Ltd,VEND-102,74588.82,EMP_004,Finance,Consulting,Bank Transfer,8755262201,Approved
INV-100001,TXN-500001,2024-11-20 17:00:00,Slack Technologies,VEND-101,64362.01,EMP_015,Sales,Travel,Card,2533403651,Rejected
INV-100002,TXN-500002,2024-02-01 16:00:00,Adobe Systems,VEND-104,1956.18,EMP_047,Sales,Travel,Card,3154890776,Pending
INV-100003,TXN-500003,2023-03-09 13:00:00,Slack Technologies,VEND-101,2821.88,EMP_006,Legal,Software,Bank Transfer,2533403651,Pending
INV-100004,TXN-500004,2023-08-27 15:00:00,Zoom Video,VEND-106,3171.74,EMP_021,Finance,Marketing,UPI,1714025507,Rejected
INV-100005,TXN-500005,2024-09-18 16:00:00,ABC Pvt Ltd,VEND-102,1152.01,EMP_021,Legal,Software,UPI,8755262201,Approved
INV-100006,TXN-500006,2023-11-27 14:00:00,Stripe Inc,VEND-105,8193.55,EMP_008,IT,Travel,Bank Transfer,4532658461,Approved
INV-100007,TXN-500007,2024-13-45,Slack Technologies,,14284.89,EMP_021,HR,Travel,Bank Transfer,2533403651,Rejected
INV-100008,TXN-500008,2024-02-02 15:00:00,Amazon Web Services,VEND-100,1360.07,EMP_008,Legal,Marketing,Bank Transfer,1895646192,Approved
INV-100009,TXN-500009,2024-10-10 12:00:00,Adobe Systems,VEND-104,7122.72,EMP_030,IT,Office Supplies,UPI,3154890776,Rejected
INV-100010,TXN-500010,2024-03-12 17:00:00,Microsoft Corp,VEND-103,4625.46,EMP_038,HR,Consulting,UPI,3834846826,Pending
INV-100011,TXN-500011,2023-06-04 13:00:00,Amazon Web Services,VEND-100,3287.3,EMP_041,Legal,Office Supplies,Card,1895646192,Approved
INV-100012,TXN-500012,2023-10-18 17:00:00,Oracle India,VEND-107,964.49,EMP_011,Finance,Software,Bank Transfer,2981426336,Approved
INV-100013,TXN-500013,2024-03-15 09:00:00,Stripe Inc,VEND-105,2032.35,EMP_017,Legal,Consulting,Bank Transfer,4532658461,Rejected
INV-100014,TXN-500014,2024-12-21 13:00:00,Blue Dart,VEND-108,1300.15,EMP_035,Sales,Office Supplies,Card,3965458084,Approved
INV-100015,TXN-500015,2024-01-26 15:00:00,Oracle India,VEND-107,2288.21,EMP_001,Sales,Marketing,UPI,2981426336,Rejected
INV-100016,TXN-500016,2023-06-10 12:00:00,ABC Pvt Ltd,VEND-102,9428.17,EMP_007,Sales,Marketing,Card,8755262201,Approved
INV-100017,TXN-500017,2023-05-17 11:00:00,Stripe Inc,VEND-105,2569.56,EMP_028,Sales,Marketing,Bank Transfer,4532658461,Approved
INV-100018,TXN-500018,2023-03-02 10:00:00,Blue Dart,VEND-108,1142.81,EMP_019,Sales,Consulting,UPI,3965458084,Rejected
INV-100019,TXN-500019,2025-01-25 14:00:00,Blue Dart,VEND-108,3080.56,EMP_028,IT,Consulting,Bank Transfer,3965458084,Rejected
